"","PROBEID","SYMBOL","ENTREZID","GENENAME"
"1","209719_x_at","SERPINB3","6317","serpin family B member 3"
"2","211906_s_at","SERPINB4","6318","serpin family B member 4"
"3","209720_s_at","SERPINB3","6317","serpin family B member 3"
"4","211756_at","PTHLH","5744","parathyroid hormone like hormone"
